GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00198288	4	1	18	4	14	1	2
WBGene00200246	1	1	2	2	5	1	1
WBGene00199490	1	1	4	2	5	1	1
WBGene00202308	1	1	2	2	2	1	1
WBGene00200102	1	1	2	2	2	1	1
WBGene00019787	8	9	4	4	5	4	2
WBGene00002990	15	15	8	17	24	21	5
WBGene00199100	1	1	2	2	2	1	1
WBGene00021416	10	2	2	6	5	2	2
WBGene00006920	4	4	8	8	7	9	10
WBGene00201693	5	1	4	6	5	7	2
WBGene00006912	22	5	4	8	14	20	26
WBGene00198080	1	2	2	2	2	1	2
WBGene00200681	3	1	2	4	2	1	1
WBGene00219413	1	1	2	2	2	2	1
WBGene00165356	5	3	8	2	5	3	5
WBGene00021415	4	9	2	10	5	4	2
WBGene00021417	6	2	6	6	7	4	3
WBGene00021418	4	2	2	2	2	3	2
WBGene00021425	6	2	4	8	12	8	9
WBGene00021423	13	12	26	15	24	16	11
WBGene00021421	11	3	6	10	19	5	4
WBGene00021427	5	1	4	2	2	8	5
WBGene00168399	205	22	171	161	138	116	222
WBGene00197069	3	2	2	2	2	1	1
WBGene00197860	18	2	2	4	5	4	2
WBGene00021420	5	4	6	2	5	12	14
WBGene00021419	3	4	2	6	7	6	4
WBGene00200383	1	1	2	2	2	2	1
WBGene00199427	1	1	2	2	2	2	1
WBGene00021428	3	1	4	2	2	1	2
WBGene00219262	1	1	2	4	2	1	1
WBGene00021430	15	5	18	12	21	17	15
WBGene00202014	1	1	2	2	2	1	1
WBGene00200448	3	1	4	2	2	1	1
WBGene00023467	319	17	16	17	24	106	81
WBGene00197721	1	1	2	2	2	2	1
WBGene00016671	15	118	4	10	10	11	4
WBGene00199281	1	1	2	2	2	1	1
WBGene00000402	29	30	14	17	17	10	6
WBGene00199996	1	1	2	2	2	1	1
