GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00049655	1	1	2	2	2	1	1
WBGene00050620	1	1	2	2	2	1	1
WBGene00169046	1	1	2	2	2	1	1
WBGene00046648	1	1	2	2	2	1	1
WBGene00168750	1	1	2	2	2	1	1
WBGene00050804	1	2	2	2	2	1	1
WBGene00050443	1	1	2	2	2	1	1
WBGene00166423	1	1	2	2	2	1	1
WBGene00174290	1	1	2	2	2	1	1
WBGene00170957	1	1	2	2	2	1	1
WBGene00166629	1	1	2	2	2	1	1
WBGene00169076	1	1	2	2	2	1	1
WBGene00174942	1	1	2	2	2	1	1
WBGene00166556	1	1	2	2	2	1	1
WBGene00166749	1	1	2	2	2	1	1
WBGene00006217	5	7	6	2	5	8	3
WBGene00168217	1	1	2	2	2	1	1
WBGene00167392	1	1	2	2	2	1	1
WBGene00235209	4	1	2	2	2	24	3
WBGene00168918	1	1	2	2	2	1	1
WBGene00197445	1	2	2	2	2	1	1
WBGene00167375	1	1	2	2	2	1	1
WBGene00165675	1	1	2	2	2	1	1
WBGene00046417	1	1	2	2	2	1	1
WBGene00006214	1	6	6	6	2	4	5
WBGene00168824	1	1	2	2	2	1	1
WBGene00165913	1	1	2	2	2	1	1
WBGene00170999	1	1	2	2	2	1	1
WBGene00006211	10	7	6	2	5	12	2
WBGene00166701	1	1	2	2	2	1	1
WBGene00172371	1	1	2	2	2	1	1
WBGene00020354	32	25	16	12	2	30	21
WBGene00020356	105	11	38	58	55	5	6
WBGene00168831	1	1	2	2	2	1	1
WBGene00050076	1	1	2	2	2	1	1
WBGene00173780	1	1	2	2	2	1	1
WBGene00167712	1	2	2	2	2	1	1
WBGene00165812	1	2	2	2	2	1	1
WBGene00165634	1	2	2	2	2	1	1
WBGene00047743	1	3	2	2	2	1	1
WBGene00046002	1	1	2	2	2	1	1
WBGene00020353	276	40	149	108	122	28	17
WBGene00006204	1	3	4	2	2	7	2
WBGene00006202	3	4	2	4	2	1	2
WBGene00167858	1	1	2	2	2	1	1
WBGene00174560	1	1	2	2	2	1	1
WBGene00006201	1	7	2	2	7	1	3
WBGene00006203	3	7	2	6	7	4	1
WBGene00169159	1	1	2	2	2	1	1
WBGene00167582	1	1	2	2	2	1	1
WBGene00235376	56	11	16	31	31	35	40
WBGene00167970	1	1	2	2	2	1	1
WBGene00021178	31	11	20	12	10	47	22
WBGene00170378	1	1	2	2	2	1	1
WBGene00171762	1	1	2	2	2	1	1
WBGene00174353	1	1	2	2	2	1	1
WBGene00006199	5	6	6	2	2	2	1
WBGene00165302	1	1	2	2	5	1	1
WBGene00170914	1	1	2	2	2	1	1
WBGene00170298	1	1	2	2	2	1	1
WBGene00006212	5	12	14	6	14	4	3
WBGene00021177	1	3	4	4	2	3	3
WBGene00174521	1	1	2	2	2	1	2
WBGene00173824	1	1	2	2	2	1	2
WBGene00171398	1	1	2	2	2	1	2
WBGene00167434	1	1	2	2	2	1	2
WBGene00172523	1	1	2	2	2	1	1
WBGene00166420	1	1	2	2	2	1	1
WBGene00006213	1	1	6	2	2	2	3
WBGene00167280	1	1	4	2	2	1	2
WBGene00174376	1	1	2	2	2	1	1
WBGene00165763	1	1	2	2	2	1	1
WBGene00006208	14	3	8	6	2	4	2
WBGene00169782	1	2	2	2	2	1	1
WBGene00175008	1	1	2	2	2	1	1
WBGene00165799	1	1	2	2	2	1	1
WBGene00006209	4	6	4	4	5	4	2
