GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00000553	5	1	3	1	2	1	1	1
WBGene00019462	8	1	1	1	2	1	2	1
WBGene00197160	3	1	1	1	2	1	1	1
WBGene00198204	5	1	4	3	5	1	1	1
WBGene00001173	46	24	18	13	20	10	7	6
WBGene00201394	5	1	3	10	5	2	2	3
WBGene00001186	20	11	3	1	5	1	3	3
WBGene00198086	3	1	4	3	3	1	1	2
WBGene00195510	15	1	5	4	3	1	3	3
WBGene00196527	5	1	3	5	3	1	1	1
WBGene00001253	8	2	1	1	2	2	1	1
WBGene00018681	30	9	9	13	14	3	4	1
WBGene00018680	3	4	5	1	2	1	1	1
WBGene00018679	13	5	5	6	8	1	3	2
WBGene00138717	3	2	3	5	3	1	1	1
WBGene00018678	5	5	3	4	8	2	1	1
WBGene00006738	3	3	4	5	2	1	1	1
WBGene00021655	8	6	5	5	5	1	1	2
WBGene00044466	8	2	1	1	2	1	1	2
WBGene00022298	5	4	3	6	6	4	3	1
WBGene00022297	5	3	5	3	3	1	1	1
WBGene00022302	3	3	4	1	5	1	2	1
WBGene00022300	15	9	8	4	9	3	3	6
WBGene00220211	3	1	1	1	2	1	1	1
WBGene00022296	48	11	14	8	8	2	4	2
WBGene00022301	10	9	14	16	6	6	7	2
WBGene00022303	3	3	1	1	3	1	1	1
WBGene00022295	13	9	12	10	14	2	2	3
WBGene00201141	3	1	1	3	2	1	2	2
WBGene00044467	3	1	4	3	5	1	1	2
WBGene00019874	5	1	3	3	6	1	1	1
WBGene00019873	3	2	1	1	2	1	1	1
WBGene00255572	3	1	1	1	2	1	1	1
WBGene00202224	3	1	3	1	2	1	1	1
WBGene00019875	13	7	7	4	3	1	2	4
WBGene00044649	3	1	1	1	2	1	1	1
WBGene00023241	3	1	1	1	2	1	1	1
WBGene00023240	3	1	1	4	3	1	1	1
WBGene00023242	3	1	1	1	2	1	1	1
WBGene00022940	3	1	1	1	2	1	1	1
WBGene00219423	10	2	1	1	2	1	1	1
WBGene00000487	5	1	1	1	2	1	1	1
WBGene00016027	3	2	3	1	2	1	1	1
WBGene00016025	3	1	1	1	2	1	1	1
WBGene00200043	3	1	1	1	2	1	1	1
WBGene00016024	10	3	1	1	2	1	1	1
WBGene00001729	3	1	3	1	2	1	1	1
WBGene00199050	3	1	1	1	2	1	1	1
WBGene00016023	3	1	1	5	5	1	1	1
WBGene00077523	3	1	1	1	2	1	1	1
WBGene00016918	25	6	3	1	9	5	1	1
WBGene00235274	13	5	14	14	20	5	4	6
WBGene00016920	10	1	1	3	2	1	1	1
WBGene00001557	8	2	1	1	5	1	1	1
WBGene00219665	3	1	1	1	2	1	1	1
WBGene00016919	8	1	3	1	2	1	1	1
WBGene00195956	3	1	3	1	2	1	1	1
WBGene00201637	3	1	1	1	2	1	1	1
WBGene00016917	3	4	3	1	3	1	1	2
WBGene00198825	3	1	3	1	2	1	1	1
WBGene00202203	3	1	1	1	2	1	1	1
WBGene00201391	3	1	1	1	2	1	1	1
WBGene00022134	13	11	5	8	15	4	9	2
WBGene00220196	3	1	1	1	2	1	1	1
