GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00019054	3	1	1	1	2	1	1	1
WBGene00019053	3	1	1	1	5	1	1	1
WBGene00004338	786	204	82	78	100	51	38	37
WBGene00000678	336	52	37	46	42	10	5	9
WBGene00023304	3	1	1	1	2	1	1	1
WBGene00166535	3	1	1	1	2	1	2	1
WBGene00000679	3	1	1	3	2	1	1	1
WBGene00200943	3	1	1	1	2	1	1	1
WBGene00023305	10	1	1	3	2	1	1	1
WBGene00199889	3	2	1	1	2	1	1	1
WBGene00019052	5	1	1	1	2	1	1	1
WBGene00219265	10	1	1	1	2	1	1	1
WBGene00023397	3	1	1	1	2	1	1	1
WBGene00022423	475	111	228	184	189	66	54	76
WBGene00023202	3	1	1	1	2	1	1	1
WBGene00198926	3	1	1	1	2	1	1	1
WBGene00022314	56	16	12	9	14	3	1	1
WBGene00023392	3	1	1	1	2	1	1	1
WBGene00022309	131	32	10	8	8	5	3	4
WBGene00022310	2606	817	796	713	751	292	181	189
WBGene00199927	3	1	1	1	2	1	1	1
WBGene00002180	574	176	59	69	87	33	20	16
WBGene00022311	23	7	5	5	5	1	1	1
WBGene00022312	25	7	12	8	11	2	3	2
WBGene00235266	15	6	8	4	2	1	1	3
WBGene00235267	53	19	17	8	25	6	2	1
WBGene00000546	142	21	38	29	25	6	9	6
WBGene00000547	3168	899	742	746	675	297	196	234
WBGene00022308	8	2	4	1	5	1	1	1
WBGene00022307	688	204	176	185	213	97	63	74
WBGene00000680	25164	5974	1581	1418	1437	802	512	619
WBGene00022313	86	16	29	26	48	7	8	6
WBGene00023393	3	1	1	1	2	1	1	1
WBGene00220213	8	1	7	1	2	1	1	1
WBGene00023394	3	1	1	1	2	1	1	1
WBGene00044464	10	2	3	3	3	1	1	1
WBGene00199030	3	1	1	1	2	1	1	1
WBGene00003806	1246	441	173	157	155	87	78	80
WBGene00022306	2715	714	587	516	584	253	178	232
WBGene00198503	3	1	1	1	2	1	1	1
WBGene00019368	1024	270	423	381	397	173	92	107
WBGene00023094	5	1	1	1	2	1	1	1
WBGene00197920	3	1	1	1	2	1	1	1
WBGene00195475	3	1	1	1	2	1	1	1
WBGene00044719	66	14	8	13	12	9	4	1
WBGene00019369	10	1	1	1	3	1	1	1
WBGene00019367	18	7	3	4	2	1	2	2
WBGene00019370	28	11	20	13	20	4	2	4
WBGene00195474	3	1	1	1	2	2	1	1
WBGene00201161	3	1	1	1	2	1	1	1
WBGene00016427	298	102	86	66	93	46	28	18
WBGene00000681	260	72	46	56	59	23	13	16
WBGene00044073	94	74	38	36	40	36	25	24
WBGene00016425	81	32	26	21	20	14	8	11
WBGene00016424	63	14	10	9	11	11	5	2
WBGene00021520	13	5	14	16	23	12	6	10
WBGene00021519	18	5	1	3	3	2	1	3
WBGene00021518	192	65	29	24	29	34	17	27
WBGene00021517	13	3	3	1	3	1	1	1
WBGene00003794	7849	2648	2711	2267	2545	964	774	832
WBGene00220152	134	92	44	34	28	21	10	8
WBGene00220153	501	166	140	109	164	50	45	40
WBGene00021516	88	21	16	8	14	4	7	3
WBGene00000416	1385	415	404	293	425	135	94	107
WBGene00021515	374	148	68	64	62	42	33	34
WBGene00021514	3678	682	776	786	760	319	206	255
WBGene00001105	99	42	20	23	26	6	6	4
WBGene00003712	233	84	65	44	70	31	18	25
WBGene00021521	3	1	1	1	2	1	1	1
WBGene00003682	43	22	21	14	17	6	7	6
WBGene00003677	167	43	52	66	45	16	19	13
WBGene00045255	56	31	26	26	28	14	7	8
WBGene00202209	5	1	1	3	2	1	1	2
WBGene00199574	3	1	1	1	2	1	1	1
WBGene00219752	3	1	1	1	2	1	1	1
WBGene00021525	88	26	20	20	19	6	1	4
WBGene00021513	40	18	4	4	5	2	3	1
WBGene00021522	1168	358	416	307	393	147	117	109
WBGene00003297	5	1	5	4	8	1	1	1
WBGene00220154	13	2	12	6	15	5	3	6
WBGene00004497	3398	730	357	302	325	146	104	146
WBGene00021512	2427	552	540	446	431	214	141	183
WBGene00220155	5	4	3	1	2	1	1	1
WBGene00021511	15	4	4	3	5	1	1	1
WBGene00021524	15	3	4	1	5	1	2	1
WBGene00200640	3	1	1	1	2	1	1	1
WBGene00197111	3	1	1	1	2	1	1	1
WBGene00044618	13	7	3	3	3	4	1	2
WBGene00019538	13	6	4	3	5	1	2	2
WBGene00003947	2306	501	481	416	544	197	161	179
WBGene00019537	4960	1207	647	681	669	297	224	263
WBGene00019536	20	11	5	3	5	1	7	3
WBGene00019540	11849	1232	10062	8892	10394	3026	1890	2240
WBGene00044293	5	1	1	1	2	1	1	2
WBGene00195004	5	1	4	1	3	1	1	3
WBGene00021507	3084	893	933	849	859	339	257	318
WBGene00021508	617	226	124	99	125	77	50	46
WBGene00021506	2786	857	837	634	751	279	214	236
WBGene00021509	91	40	52	50	40	16	5	12
WBGene00021505	162	42	46	39	54	15	13	13
WBGene00000682	5	2	1	3	2	1	1	1
WBGene00021504	15	1	1	1	2	1	1	1
WBGene00021510	255	73	86	90	85	32	21	25
WBGene00198094	15	2	4	6	8	1	1	1
WBGene00021410	157	57	46	44	63	23	13	16
WBGene00004913	33	9	21	13	6	1	3	3
WBGene00000683	258	36	30	23	29	11	8	10
WBGene00195012	3	1	1	1	2	1	1	1
