GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00006488	1	3	2	4	2	1	1
WBGene00235358	10	2	4	8	10	2	1
WBGene00044474	3	8	4	2	2	1	1
WBGene00044475	1	1	2	2	2	1	1
WBGene00235297	3	1	4	2	2	1	1
WBGene00235293	3	1	6	2	7	2	1
WBGene00018973	5	1	4	2	2	1	1
WBGene00044476	4	3	2	4	2	2	2
WBGene00235361	1	1	2	6	2	1	1
WBGene00018972	8	5	2	2	5	6	2
WBGene00018971	4	10	2	4	7	25	15
WBGene00018970	8	2	6	6	5	20	2
WBGene00044642	10	2	2	4	2	5	3
WBGene00021581	15	2	4	4	2	9	3
WBGene00021582	3	7	4	6	7	2	2
WBGene00195003	1	1	2	4	2	1	1
WBGene00021583	14	17	24	52	24	15	4
WBGene00235362	5	16	2	2	2	3	1
WBGene00021585	13	5	4	8	14	4	1
WBGene00021586	20	9	10	10	12	5	3
WBGene00021587	4	5	4	2	2	2	2
WBGene00044343	4	5	4	8	12	3	4
WBGene00018548	15	4	10	8	5	3	2
WBGene00005432	3	24	2	2	2	2	2
WBGene00005433	1	1	4	4	2	2	2
WBGene00018547	116	232	77	79	86	117	100
WBGene00220113	4	2	14	15	12	3	5
WBGene00018066	1	2	6	2	2	2	1
WBGene00018065	5	8	4	4	2	2	1
WBGene00018064	32	5	12	19	5	15	10
WBGene00219554	1	2	2	2	5	2	1
WBGene00006173	27	2	10	2	21	5	2
WBGene00020979	3	2	2	2	2	1	2
WBGene00004157	13	10	4	12	14	17	18
WBGene00016434	9	29	12	4	7	8	6
WBGene00016433	4	4	2	4	2	4	9
WBGene00016432	41	21	205	207	220	44	29
WBGene00006701	4	16	8	10	5	12	13
WBGene00016436	4	4	2	4	2	4	2
WBGene00018644	1	2	2	4	2	6	13
WBGene00235363	1	2	2	4	2	7	19
WBGene00019933	3	7	18	25	17	9	7
WBGene00019932	5	82	6	2	7	5	1
WBGene00019934	5	13	6	17	17	6	5
WBGene00019931	3	10	2	2	5	2	4
WBGene00019533	1	5	2	2	5	2	3
WBGene00219216	4	12	8	17	12	7	3
WBGene00019532	10	33	6	17	17	14	7
WBGene00019531	9	12	12	15	2	9	5
WBGene00019530	11	35	4	12	5	15	5
WBGene00235369	10	1	2	2	2	8	6
WBGene00019529	6	33	4	8	5	4	4
WBGene00004385	5	5	6	14	10	8	3
WBGene00004386	6	4	4	8	2	2	4
WBGene00001033	14	43	14	21	10	15	7
WBGene00019535	5	2	8	6	12	7	3
WBGene00235370	10	11	26	31	10	21	26
WBGene00019439	670	723	461	406	480	681	641
WBGene00019438	3	1	4	4	2	1	1
WBGene00017934	43	72	26	46	50	27	21
WBGene00001074	13	3	2	6	5	2	2
WBGene00235183	1	2	2	2	2	4	1
WBGene00023279	3	4	2	4	2	4	1
WBGene00018085	5	2	4	2	2	6	2
WBGene00000123	37	40	46	43	41	60	59
WBGene00000610	36	118	14	12	5	9	2
WBGene00018084	1	4	4	4	2	1	2
WBGene00018083	3	2	4	2	2	2	1
WBGene00018082	1	1	2	2	7	1	1
WBGene00018081	1	3	2	2	5	1	1
WBGene00018080	1	1	2	2	2	1	1
WBGene00003336	3	2	2	2	2	1	1
WBGene00017486	1	5	2	2	2	4	4
WBGene00017485	8	6	6	15	5	5	1
WBGene00044479	1	16	2	2	2	1	1
WBGene00017484	8	6	4	6	7	1	2
WBGene00017483	13	4	4	2	10	9	6
WBGene00235372	3	1	4	6	5	1	1
WBGene00017482	89	17	103	79	117	84	66
WBGene00021287	19	18	8	14	10	5	5
WBGene00174298	1	1	2	2	2	1	1
WBGene00020972	74	25	24	21	14	20	3
WBGene00020971	6	5	8	8	14	18	13
WBGene00020976	5	3	12	8	14	7	9
WBGene00198353	1	1	4	2	5	1	1
WBGene00220117	3	8	10	6	5	4	2
WBGene00020974	41	7	87	60	119	9	6
WBGene00005662	9	6	14	17	14	21	18
WBGene00018898	311	113	373	340	456	142	133
WBGene00021286	5	16	4	19	19	24	22
WBGene00021282	15	18	38	23	24	19	13
WBGene00021281	118	318	185	166	184	153	127
WBGene00235373	27	66	75	48	41	36	37
WBGene00019950	5	4	2	4	2	4	2
WBGene00019949	5	2	2	19	2	10	4
WBGene00019948	22	11	12	8	7	15	9
WBGene00019947	23	19	26	25	26	46	39
WBGene00019946	8	13	12	2	21	28	16
WBGene00019955	14	122	12	17	17	42	46
WBGene00019721	57	125	24	21	26	111	101
WBGene00195363	1	8	8	10	5	2	1
WBGene00196599	1	1	2	2	2	1	1
WBGene00019717	5	14	8	10	17	2	3
WBGene00197811	3	2	2	4	2	1	1
WBGene00045248	28	36	38	43	43	7	6
WBGene00200649	1	1	4	2	7	2	1
