GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00169683	3	1	1	1	2	1	1	1
WBGene00021868	43	25	151	139	181	72	62	74
WBGene00021875	3	4	1	1	3	1	1	2
WBGene00044487	13	2	3	1	2	1	1	1
WBGene00021894	5	1	1	3	2	1	1	1
WBGene00023180	3	2	1	1	2	1	1	1
WBGene00235268	8	5	31	46	26	7	5	11
WBGene00023484	15	2	14	9	12	1	1	4
WBGene00043062	48	4	8	13	11	3	1	2
WBGene00044489	8	1	1	3	2	1	1	1
WBGene00044490	5	1	1	1	2	1	1	1
WBGene00021873	18	4	4	5	3	1	1	1
WBGene00043702	8	2	1	3	2	2	1	1
WBGene00021895	58	4	9	13	3	3	2	1
WBGene00044495	13	1	1	8	5	1	1	1
WBGene00021872	10	3	1	3	5	1	1	1
WBGene00021871	61	18	42	34	56	16	15	9
WBGene00235102	202	134	25	30	40	7	28	42
WBGene00021898	83	22	23	23	31	8	7	8
WBGene00044493	13	3	5	4	2	1	1	1
WBGene00021870	66	4	53	45	57	3	3	2
WBGene00021897	20	4	5	8	6	1	1	1
WBGene00189961	38	7	5	9	6	3	1	3
WBGene00202412	3	1	1	1	5	1	1	1
WBGene00197842	5	4	5	9	9	3	1	2
WBGene00199274	56	5	64	71	56	9	7	15
WBGene00200008	8	2	5	4	6	2	1	2
WBGene00201650	5	1	1	9	11	1	3	2
WBGene00197276	3	1	1	1	2	1	1	1
WBGene00021869	5	4	7	8	5	1	2	2
WBGene00003008	3	1	1	6	3	2	2	1
WBGene00022067	78	11	99	98	108	12	10	15
WBGene00022066	8	2	3	1	2	1	1	1
WBGene00201412	8	1	1	3	2	1	1	1
WBGene00201376	5	2	1	4	5	1	1	2
WBGene00195576	8	4	5	8	2	1	2	2
WBGene00197431	15	4	14	10	11	3	1	3
WBGene00197636	5	1	4	4	3	1	1	3
WBGene00020729	38	6	27	16	37	9	7	7
WBGene00174542	3	1	1	1	2	1	1	1
WBGene00020730	10	2	13	14	20	4	5	7
WBGene00020728	38	7	47	43	70	16	17	19
WBGene00199115	3	1	1	1	2	1	1	1
WBGene00200723	3	2	3	1	2	1	1	1
WBGene00022064	5	1	3	1	5	1	1	1
WBGene00019766	109	15	31	35	39	12	29	9
WBGene00235356	5	1	3	1	3	1	1	1
WBGene00022059	124	42	192	208	250	23	40	40
WBGene00197555	3	1	1	1	2	1	1	1
WBGene00020831	68	4	43	24	28	4	3	3
WBGene00201407	3	1	1	1	2	1	1	1
WBGene00196782	3	1	1	1	2	1	1	1
WBGene00021089	18	4	12	15	15	2	1	7
WBGene00021088	88	41	30	24	46	9	9	11
WBGene00021087	5	1	1	1	2	1	1	1
WBGene00021086	8	3	1	3	3	1	1	1
WBGene00021085	8	3	1	3	3	1	1	1
WBGene00021084	8	1	1	3	2	1	1	1
WBGene00021083	8	1	4	1	2	1	1	1
WBGene00021082	35	2	5	9	9	1	4	1
WBGene00018325	134	28	244	233	309	39	58	51
WBGene00196320	3	1	1	1	2	1	1	1
WBGene00018324	35	3	5	1	2	1	1	1
WBGene00018323	8	3	4	3	3	1	1	1
WBGene00021953	13	2	5	3	6	1	1	1
WBGene00021952	40	20	16	13	5	4	3	4
WBGene00015248	399	3	14	5	12	1	1	1
WBGene00015414	3	1	1	1	2	1	1	1
WBGene00219410	5	1	1	1	2	1	1	1
WBGene00015413	18	4	4	4	6	2	1	1
WBGene00015412	18	1	4	4	2	1	1	1
WBGene00195724	3	1	1	1	2	1	1	1
WBGene00197323	15	1	3	1	2	1	1	1
WBGene00200140	3	1	1	1	2	1	1	1
WBGene00015411	5	1	4	1	2	1	1	1
WBGene00021033	5	1	1	3	5	1	1	1
WBGene00001702	13	2	3	3	3	1	1	1
WBGene00001692	8	6	3	1	5	1	1	2
WBGene00001699	25	2	1	3	2	1	1	1
WBGene00019049	8	1	1	3	3	1	1	1
WBGene00194843	5	1	3	3	3	1	1	1
WBGene00019051	3	1	1	1	2	1	1	1
WBGene00019048	8	1	3	4	2	1	1	1
WBGene00019047	8	2	3	4	2	1	1	1
WBGene00019046	3	1	3	1	2	1	1	1
WBGene00023301	15	1	8	6	9	1	1	1
WBGene00015655	5	1	1	3	2	1	1	1
WBGene00023463	5	1	1	1	6	1	1	1
WBGene00023465	5	1	1	3	6	1	1	3
WBGene00015654	8	1	1	5	3	1	1	1
WBGene00023464	5	1	18	30	19	1	1	1
WBGene00015652	3	1	1	4	2	1	1	1
WBGene00015651	253	88	241	212	246	63	56	55
