Condition	GeneID	HS % / WT % 	HS % Antisense over Sense	HS log % Antisense over Sense	HS log rowmean	HS rowmean	OK % / WT % 	OK % Antisense over Sense	OK log % Antisense over Sense	OK log rowmean	OK rowmean	TOTAL_HS_A	TOTAL_HS_S	TOTAL_OK_A	TOTAL_OK_S	TOTAL_WT_A	TOTAL_WT_S	WT % Antisense over Sense	WT log % Antisense over Sense	WT log rowmean	WT rowmean	log Condition (antisense/sense) / WT (antisense/sense) 	log HS % / WT % 	log OK % / WT % 	Antisense up in Condition
HS	WBGene00004228	199.69811320754715	1.3584905660377358	0.3063742054639334	4.135166556742356	62.5						72.0	53.0			1	147	0.006802721088435374	-4.990432586778736	4.30406509320417	74.0	5.29680679224267	5.29680679224267		True
HS	WBGene00011182	25.016384778012686	0.1569767441860465	-1.851657610809124	5.986452005284438	398.0						108.0	688.0			11	1753	0.006274957216200799	-5.071188612122864	6.782192056006791	882.0	3.21953100131374	3.21953100131374		True
HS	WBGene00012016	1.4329411764705884	4.2	1.4350845252893227	3.258096538021482	26.0						42.0	10.0			85	29	2.9310344827586206	1.0753554265038423	4.04305126783455	57.0	0.3597290987854803	0.3597290987854803		True
HS	WBGene00008760	1.5151515151515151	0.9375	-0.06453852113757118	4.532599493153256	93.0						90.0	96.0			99	160	0.61875	-0.480053965099237	4.863680881139593	129.5	0.4155154439616658	0.4155154439616658		True
HS	WBGene00044784	82.08	1.6888888888888889	0.5240708505160113	4.102643365036796	60.5						76.0	45.0			5	243	0.0205761316872428	-3.883623530906448	4.820281565605037	124.0	4.407694381422459	4.407694381422459		True
HS	WBGene00000109	6.745866088370833	0.03271889400921659	-3.4198025694931897	7.021530293240982	1120.5						71.0	2170.0			17	3505	0.0048502139800285305	-5.328732455412474	7.473637108496206	1761.0	1.9089298859192847	1.9089298859192847		True
HS	WBGene00002992	2.8993488500969797	0.0685785536159601	-2.6797754226340436	6.060290738037835	428.5						55.0	802.0			18	761	0.023653088042049936	-3.744261599965521	5.964863865310803	389.5	1.0644861773314775	1.0644861773314775		True
HS	WBGene00002344	6.894528812148949	0.013739883305100696	-4.287452485302552	7.898411092811599	2693.0						73.0	5313.0			19	9534	0.0019928676316341514	-6.218180656598331	8.471463339710063	4776.5	1.9307281712957785	1.9307281712957785		True
HS	WBGene00008504	50.476190476190474	0.7142857142857143	-0.3364722366212129	3.7376696182833684	42.0						35.0	49.0			3	212	0.014150943396226415	-4.257973986003902	4.677490847567717	107.5	3.92150174938269	3.92150174938269		True
HS	WBGene00008505	3.168698173909103	0.008447531443589262	-4.773881017146679	7.895808377083183	2686.0						45.0	5327.0			29	10878	0.0026659312373598087	-5.927201849996432	8.604012883368798	5453.5	1.1533208328497526	1.1533208328497526		True
