GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00198094	8	1	6	10	12	2	1
WBGene00021410	79	69	70	68	98	58	53
WBGene00004913	17	30	32	19	10	23	20
WBGene00000683	130	111	46	35	45	139	152
WBGene00195012	1	2	2	2	2	1	1
WBGene00000553	76	16	75	52	62	13	18
WBGene00019462	56	52	54	43	64	33	36
WBGene00197160	3	1	6	4	7	1	1
WBGene00198204	1	1	2	2	2	1	1
WBGene00001173	5545	5276	4455	3684	4270	4268	4892
WBGene00201394	3	5	2	4	2	4	4
WBGene00001186	549	312	556	418	530	562	717
WBGene00198086	3	7	2	2	2	1	2
WBGene00195510	1	4	2	2	2	1	1
WBGene00196527	1	9	2	2	2	1	2
WBGene00001253	65	26	73	41	64	30	41
WBGene00018681	1734	1545	1593	1350	1757	1994	1891
WBGene00018680	112	29	50	44	69	113	84
WBGene00018679	778	2321	419	389	306	493	559
WBGene00138717	400	131	195	170	189	211	223
WBGene00018678	389	360	272	271	334	530	554
WBGene00006738	131	26	58	23	38	76	72
WBGene00021655	456	205	411	348	463	639	752
WBGene00044466	65	26	24	17	29	44	48
WBGene00022298	39	121	28	19	19	13	21
WBGene00022297	325	169	141	118	150	381	419
WBGene00022302	50	61	4	15	7	12	14
WBGene00022300	1267	1485	1017	930	974	1655	1747
WBGene00220211	211	54	105	132	141	198	277
WBGene00022296	3024	6018	2635	2036	2396	3093	3223
WBGene00022301	2006	4519	1960	1727	1948	1580	1590
WBGene00022303	3	2	4	6	2	2	1
WBGene00022295	6	2	2	6	7	6	4
WBGene00201141	1	1	2	2	2	1	1
WBGene00044467	38	8	42	37	26	24	24
WBGene00019874	1	3	4	2	2	1	1
WBGene00019873	25	26	36	43	69	118	27
WBGene00255572	3	5	8	6	2	2	2
WBGene00202224	1	1	2	2	2	1	1
WBGene00019875	1418	1605	820	826	807	671	671
WBGene00044649	4	2	4	4	2	4	4
WBGene00023241	1	1	2	4	2	1	1
WBGene00023240	1	1	4	2	2	1	1
WBGene00023242	1	1	2	2	5	1	1
WBGene00022940	1	1	2	2	2	1	1
WBGene00219423	18	6	12	8	29	5	3
WBGene00000487	5	7	4	6	12	10	9
WBGene00016027	119	45	87	56	88	159	165
WBGene00016025	1	1	2	4	2	2	3
WBGene00200043	1	2	2	2	2	1	1
WBGene00016024	29	49	10	12	14	16	17
WBGene00001729	4	1	2	2	7	3	2
WBGene00199050	1	1	2	2	2	1	1
WBGene00016023	19	4	14	15	12	11	6
WBGene00077523	5	1	6	2	5	1	3
WBGene00016918	576	303	244	195	274	626	609
WBGene00235274	5	2	2	2	12	7	5
WBGene00016920	37	14	4	8	10	23	22
WBGene00001557	11	7	8	10	12	9	5
WBGene00219665	3	2	2	2	5	1	1
WBGene00016919	28	25	34	39	41	11	11
WBGene00195956	1	1	2	2	2	1	1
WBGene00201637	1	1	4	2	2	1	1
WBGene00016917	3	3	4	2	2	5	4
WBGene00198825	1	1	2	2	2	1	1
WBGene00202203	1	1	4	2	2	2	2
WBGene00201391	1	1	2	2	2	1	1
WBGene00022134	3180	7926	2912	2487	2668	2634	3045
WBGene00220196	1	1	14	6	7	2	1
WBGene00044650	797	233	965	745	902	1261	1179
WBGene00235277	1	18	6	4	2	2	3
WBGene00020208	1781	2728	2683	2174	2661	2906	2881
WBGene00202285	1	1	2	2	2	1	1
WBGene00019785	33	12	42	41	43	8	7
WBGene00019784	1	1	2	2	2	1	1
WBGene00019783	61	16	52	37	60	9	8
WBGene00019786	267	152	222	151	212	273	303
WBGene00201529	1	1	2	2	2	1	1
WBGene00196218	1	1	2	2	2	1	1
WBGene00195460	1	2	20	14	17	1	1
WBGene00198288	1	1	2	2	5	1	1
WBGene00200246	4	1	20	4	19	1	2
WBGene00199490	1	1	2	2	2	1	1
WBGene00202308	1	1	4	2	5	1	1
WBGene00200102	3	8	12	25	12	2	1
WBGene00019787	460	683	377	321	332	368	403
WBGene00002990	297	461	246	248	258	126	154
WBGene00199100	1	1	2	2	2	1	1
WBGene00021416	4	2	6	2	2	5	9
WBGene00006920	2786	4098	1269	1035	1251	1717	1685
WBGene00201693	1	1	4	2	2	1	1
WBGene00006912	2424	832	4812	3878	5874	4376	3822
WBGene00198080	3	1	2	4	2	1	1
WBGene00200681	1	2	2	2	2	1	2
WBGene00219413	18	30	12	4	10	5	11
WBGene00165356	1	1	2	2	2	1	1
WBGene00021415	132	74	52	52	62	90	83
WBGene00021417	14	1	8	8	7	1	1
WBGene00021418	6	5	10	8	10	2	6
WBGene00021425	694	260	749	584	635	601	693
WBGene00021423	1655	2262	1482	1141	1666	1481	1595
WBGene00021421	452	476	352	292	286	366	399
WBGene00021427	708	292	308	337	313	847	1011
WBGene00168399	3	1	2	2	2	1	2
WBGene00197069	15	2	2	4	2	3	2
WBGene00197860	3	2	2	2	2	3	3
WBGene00021420	1695	3944	945	917	1096	1771	2076
WBGene00021419	310	195	161	135	146	374	321
WBGene00200383	1	1	2	2	2	1	1
WBGene00199427	1	1	2	2	2	1	1
WBGene00021428	4	1	2	4	2	1	1
