GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00199100	1	1	2	2	2	1	1
WBGene00021416	6	2	2	2	5	1	1
WBGene00006920	4	2	2	4	7	6	9
WBGene00201693	1	1	4	6	5	1	1
WBGene00006912	10	3	4	8	12	20	24
WBGene00198080	1	2	2	2	2	1	2
WBGene00200681	3	1	2	4	2	1	1
WBGene00219413	1	1	2	2	2	2	1
WBGene00165356	5	3	8	2	5	3	5
WBGene00021415	3	1	2	6	2	1	2
WBGene00021417	4	2	4	4	2	4	2
WBGene00021418	1	1	2	2	2	1	1
WBGene00021425	1	1	2	2	5	5	6
WBGene00021423	10	6	18	10	14	8	9
WBGene00021421	5	1	4	2	10	1	3
WBGene00021427	4	1	4	2	2	6	5
WBGene00168399	205	22	171	157	129	107	206
WBGene00197069	3	2	2	2	2	1	1
WBGene00197860	15	2	2	4	2	3	2
WBGene00021420	5	3	6	2	5	9	14
WBGene00021419	3	1	2	6	2	5	4
WBGene00200383	1	1	2	2	2	1	1
WBGene00199427	1	1	2	2	2	1	1
WBGene00021428	3	1	4	2	2	1	2
WBGene00219262	1	1	2	4	2	1	1
WBGene00021430	10	3	14	10	17	10	14
WBGene00202014	1	1	2	2	2	1	1
WBGene00200448	3	1	4	2	2	1	1
WBGene00023467	313	17	16	17	24	106	81
WBGene00197721	1	1	2	2	2	2	1
WBGene00016671	3	2	2	2	2	3	4
WBGene00199281	1	1	2	2	2	1	1
WBGene00000402	4	3	2	4	5	4	4
WBGene00199996	1	1	2	2	2	1	1
WBGene00235340	3	2	2	4	5	2	1
WBGene00200790	1	1	4	2	2	1	1
WBGene00201607	1	1	2	2	2	1	1
WBGene00016670	3	2	6	6	2	6	6
WBGene00016669	1	10	4	2	5	4	7
WBGene00016668	3	2	2	2	2	4	7
WBGene00001705	6	94	4	8	12	21	21
WBGene00195361	1	1	2	2	2	1	1
WBGene00197919	1	1	2	2	2	2	1
WBGene00044468	20	7	56	48	74	18	26
WBGene00235299	3	3	20	15	12	17	21
WBGene00022090	147	610	286	255	399	2090	2179
WBGene00022092	4	2	8	2	5	5	7
WBGene00197723	1	1	2	2	2	1	1
WBGene00022089	8	1308	12	12	14	941	1017
WBGene00022087	9	252	8	8	17	825	832
WBGene00022093	18	3	34	31	60	9	6
WBGene00198527	1	1	2	2	2	1	1
WBGene00022086	1	1	2	2	2	1	1
WBGene00175009	1	1	4	2	2	1	1
WBGene00022094	1	2	2	4	2	1	1
WBGene00022085	1	7	2	4	5	4	1
WBGene00235341	1	1	2	2	2	1	1
WBGene00235288	1	1	2	2	2	1	1
