GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00018330	1701	388	513	442	488	183	131	161
WBGene00195284	3	1	1	1	2	1	1	1
WBGene00015249	1213	371	280	239	334	119	78	94
WBGene00015250	1173	428	246	227	294	137	72	106
WBGene00015251	485	186	132	95	133	54	29	39
WBGene00015252	8	1	3	3	5	1	1	1
WBGene00001119	94	28	17	18	22	10	6	7
WBGene00015416	28	4	4	3	2	1	1	1
WBGene00198367	15	1	3	1	2	1	1	1
WBGene00195067	3	1	1	3	2	1	1	1
WBGene00219646	10	2	5	6	2	1	1	1
WBGene00015417	5	1	1	1	2	1	1	3
WBGene00017281	48	12	17	14	17	6	3	8
WBGene00023302	8	2	4	4	2	1	1	4
WBGene00219706	5	1	4	1	2	1	1	1
WBGene00019050	5	2	1	3	3	1	1	1
WBGene00023481	3	1	3	3	2	1	1	1
WBGene00023303	3	1	3	5	3	1	1	1
WBGene00023475	5	1	1	1	2	1	1	1
WBGene00015656	15	1	1	1	8	1	1	1
WBGene00023474	10	1	1	1	5	1	1	1
WBGene00023476	5	1	5	1	2	1	1	1
WBGene00044470	8	1	3	1	5	1	1	1
WBGene00023234	3	1	1	1	2	1	1	1
WBGene00000424	1176	450	290	234	272	120	118	121
WBGene00015658	1613	577	494	422	491	215	152	173
WBGene00015038	61	27	8	10	14	4	4	4
WBGene00003889	905	27	38	65	60	8	4	2
WBGene00235357	30	9	14	10	6	5	2	2
WBGene00021376	354	85	97	95	85	41	20	21
WBGene00006383	1896	648	1255	1092	1193	390	328	404
WBGene00021377	1026	283	215	198	178	94	68	62
WBGene00021378	576	130	46	53	65	21	21	25
WBGene00021379	35	12	1	3	3	1	2	3
WBGene00021380	15	2	9	6	3	1	1	1
WBGene00021381	149	27	52	25	39	7	9	10
WBGene00022610	1413	377	353	274	291	113	69	90
WBGene00000481	210	60	91	61	107	32	31	16
WBGene00006756	137	38	64	53	87	25	26	15
WBGene00197099	5	1	1	1	2	1	1	1
WBGene00195049	5	1	1	1	2	1	1	1
WBGene00016987	720	276	246	232	240	80	88	63
WBGene00021362	412	72	119	94	99	28	31	31
WBGene00198320	5	1	1	1	3	1	1	1
WBGene00006334	10	2	4	8	3	1	1	1
WBGene00003129	728	212	86	69	82	34	26	31
WBGene00021363	3130	890	913	799	903	282	208	248
WBGene00021364	10	3	3	1	11	1	1	1
WBGene00195010	10	2	4	1	3	1	1	1
WBGene00197370	5	1	1	1	2	1	1	1
